candidate_id,sentence_marked,sentence,head_form,head_children,family_status,peripheral_subtype,auxiliary_type,participial_predicate,agent_realization,promotion_type,eventive_stative,syntactic_environment,subject_role_profile,notes,pilot_order
gum|train|GUM_interview_brotherhood-5|7,For how long have you been [[involved]] in performing / studying magic ?,For how long have you been involved in performing / studying magic?,involved,3:obl:long;4:aux:have;5:nsubj:pass:you;6:aux:pass:been;9:advcl:performing;13:punct:?,,,,,,,,,,,1
ewt|train|weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0036|22,"So , one answer to Bush 's charge about Edwards is that if it had any merit , Bush should have [[declined]] to run himself .","So, one answer to Bush's charge about Edwards is that if it had any merit, Bush should have declined to run himself.",declined,1:advmod:So;4:nsubj:outer:answer;11:cop:is;12:mark:that;15:advcl:had;19:nsubj:Bush;20:aux:should;21:aux:have;24:xcomp:run;26:punct:.,,,,,,,,,,,2
ewt|dev|reviews-009775-0002|6,The smokehouse ca n't be [[beat]] anywhere .,The smokehouse can't be beat anywhere.,beat,2:nsubj:pass:smokehouse;3:aux:ca;4:advmod:n't;5:aux:pass:be;7:advmod:anywhere;8:punct:.,,,,,,,,,,,3
ewt|test|newsgroup-groups.google.com_IndiaNewsWindow_8945cbef01f41435_ENG_20051113_092500-0004|9,"He said Mr Dar , 33 , was [[arrested]] in Indian - administered Kashmir and belonged to the outlawed Lashkar - e - Toiba militant group .","He said Mr Dar, 33, was arrested in Indian-administered Kashmir and belonged to the outlawed Lashkar-e-Toiba militant group.",arrested,4:nsubj:pass:Dar;8:aux:pass:was;14:obl:Kashmir;16:conj:belonged,,,,,,,,,,,4
gum|train|GUM_court_property-50|22,"I 'm not sure I get that , or how I see it 's consistent with the cases that have been [[cited]] to us .","I'm not sure I get that, or how I see it's consistent with the cases that have been cited to us.",cited,19:nsubj:pass:that;20:aux:have;21:aux:pass:been;24:obl:us,,,,,,,,,,,5
gum|train|GUM_fiction_wedding-40|26,Prince Hermes : Now after humankind has suffered so much harm here I flow having by god ’s counsel and with the help of art [[become]] a healing balm .,Prince Hermes: Now after humankind has suffered so much harm here I flow having by god’s counsel and with the help of art become a healing balm.,become,15:aux:having;19:obl:counsel;29:xcomp:balm,,,,,,,,,,,6
gum|train|GUM_bio_marbles-37|6,The toys ' appearances are [[based]] upon her real dogs . [ 7 ],The toys' appearances are based upon her real dogs. [7],based,4:nsubj:pass:appearances;5:aux:pass:are;10:obl:dogs;11:punct:.;13:dep:7,,,,,,,,,,,7
ewt|train|newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0101|14,0 - Number of memorial services for the returned dead that Bush has [[attended]] since the beginning of the war .,0 - Number of memorial services for the returned dead that Bush has attended since the beginning of the war.,attended,11:obj:that;12:nsubj:Bush;13:aux:has;17:obl:beginning,,,,,,,,,,,8
gum|train|GUM_court_fire-52|16,"And then their defense is , well , she should n't have she should have [[sought]] out alternative routes , number one .","And then their defense is, well, she shouldn't have she should have sought out alternative routes, number one.",sought,1:cc:And;2:advmod:then;4:nsubj:outer:defense;5:cop:is;7:discourse:well;12:reparandum:have;13:nsubj:she;14:aux:should;15:aux:have;17:compound:prt:out;19:obj:routes;21:parataxis:number;23:punct:.,,,,,,,,,,,9
ewt|train|weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0004|20,"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had [[made]] a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .","These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military ""president"" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda.",made,18:nsubj:who;19:aux:had;22:obj:coup;24:obl:1999;27:conj:thrown,,,,,,,,,,,10
ewt|train|weblog-blogspot.com_dakbangla_20041028153019_ENG_20041028_153019-0020|20,"Unreported by the international media , the Valley of Kashmir has seen an ethnic and cultural genocide that has [[resulted]] in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded .","Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",resulted,18:nsubj:that;19:aux:has;23:obl:fleeing,,,,,,,,,,,11
gum|dev|GUM_fiction_lunre-6|12,"The day began as it usually did when my father was [[expected]] home from his travels , the house festooned with flowers and stocked with coconut liquor .","The day began as it usually did when my father was expected home from his travels, the house festooned with flowers and stocked with coconut liquor.",expected,8:advmod:when;10:nsubj:pass:father;11:aux:pass:was;13:advmod:home;16:obl:travels,,,,,,,,,,,12
gum|train|GUM_podcast_llms-43|13,"I mean , are we covered on that one or have you [[got]] lots more thoughts about the source of training material for the LLMs ?","I mean, are we covered on that one or have you got lots more thoughts about the source of training material for the LLMs?",got,10:cc:or;11:aux:have;12:nsubj:you;16:obj:thoughts,,,,,,,,,,,13
gum|train|GUM_podcast_addiction-80|21,"And then there would be the substance use disorders such as substance dependance , where you become -- you 've [[lost]] control over use of a particular substance .","And then there would be the substance use disorders such as substance dependance, where you become -- you've lost control over use of a particular substance.",lost,15:advmod:where;17:reparandum:become;19:nsubj:you;20:aux:'ve;22:obj:control,,,,,,,,,,,14
ewt|train|reviews-181771-0003|4,I have never [[seen]] this car before until this lady at wal mart had it and she told me she got it here and that everyone was so nice to her .,I have never seen this car before until this lady at wal mart had it and she told me she got it here and that everyone was so nice to her.,seen,1:nsubj:I;2:aux:have;3:advmod:never;6:obj:car;7:advmod:before;14:advcl:had;32:punct:.,,,,,,,,,,,15
ewt|dev|newsgroup-groups.google.com_eHolistic_b8e32f451114ecc2_ENG_20051118_192000-0005|32,"Currently , I am writing a book on natural supplements to aid weight loss , with Harry Preuss , MD , a Professor of Medicine at Georgetown University ; it is [[scheduled]] for publication by Broadway ( Random House ) in January 2007 .","Currently, I am writing a book on natural supplements to aid weight loss, with Harry Preuss, MD, a Professor of Medicine at Georgetown University; it is scheduled for publication by Broadway (Random House) in January 2007.",scheduled,29:punct:;;30:nsubj:pass:it;31:aux:pass:is;34:obl:publication,,,,,,,,,,,16
ewt|test|email-enronsent18_02-0030|5,Further to your call [[attached]] is a presentation I gave at the Canadian Risk Managers Conference in Edmonton in the fall of 2000 .,Further to your call attached is a presentation I gave at the Canadian Risk Managers Conference in Edmonton in the fall of 2000.,attached,1:advmod:Further;6:aux:pass:is;8:nsubj:pass:presentation;24:punct:.,,,,,,,,,,,17
gum|train|GUM_bio_gordon-8|26,"Gordon was brought up and remained a lifelong Roman Catholic , at a time when the Church was being persecuted in Scotland , which had [[become]] Calvinist .","Gordon was brought up and remained a lifelong Roman Catholic, at a time when the Church was being persecuted in Scotland, which had become Calvinist.",become,"23:punct:,;24:nsubj:which;25:aux:had;27:xcomp:Calvinist",,,,,,,,,,,18
ewt|test|email-enronsent04_01-0008|7,Privileged / Confidential Information may be [[contained]] in this message .,Privileged/Confidential Information may be contained in this message.,contained,4:nsubj:pass:Information;5:aux:may;6:aux:pass:be;10:obl:message;11:punct:.,,,,,,,,,,,19
gum|test|GUM_essay_fear-8|11,It is deeply ingrained in the living organisms that have [[survived]] extinction through billions of years of evolution .,It is deeply ingrained in the living organisms that have survived extinction through billions of years of evolution.,survived,9:nsubj:that;10:aux:have;12:obj:extinction;14:obl:billions,,,,,,,,,,,20
gum|test|GUM_interview_libertarian-23|14,"Compared to previous third party candidates at the gubernatorial level , you have [[done]] exceptionally well in opinion polling .","Compared to previous third party candidates at the gubernatorial level, you have done exceptionally well in opinion polling.",done,1:advcl:Compared;12:nsubj:you;13:aux:have;16:advmod:well;19:obl:polling;20:punct:.,,,,,,,,,,,21
gum|train|GUM_conversation_scientist-6|17,"And I remember this pf- cartoon I saw w- , of , of , it was [[called]] The Scientist .","And I remember this pf- cartoon I saw w-, of, of, it was called The Scientist.",called,9:reparandum:w-;11:reparandum:of;13:reparandum:of;15:nsubj:pass:it;16:aux:pass:was;19:xcomp:Scientist,,,,,,,,,,,22
gum|train|GUM_interview_herrick-45|10,"When I ran eHow , the content was professionally [[produced]] and edited .","When I ran eHow, the content was professionally produced and edited.",produced,3:advcl:ran;7:nsubj:pass:content;8:aux:pass:was;9:advmod:professionally;12:conj:edited;13:punct:.,,,,,,,,,,,23
ewt|train|answers-20111108091921AAaLK4e_ans-0054|3,I have [[seen]] horses Loose Nails On there Own And do just fine with ONE nail gone Now if he had left out 2 or 3 I would be wondering to ...,I have seen horses Loose Nails On there Own And do just fine with ONE nail gone Now if he had left out 2 or 3 I would be wondering to...,seen,1:nsubj:I;2:aux:have;5:ccomp:Loose;30:parataxis:wondering;32:punct:...,,,,,,,,,,,24
ewt|train|answers-20111108104724AAuBUR7_ans-0059|17,The chiro / acupuncturist will be there to evaluate the horse for wobblers which is often [[caused]] by spinal compression and can be confused with EPM .,The chiro/acupuncturist will be there to evaluate the horse for wobblers which is often caused by spinal compression and can be confused with EPM.,caused,14:nsubj:pass:which;15:aux:pass:is;16:advmod:often;20:obl:agent:compression;24:conj:confused,,,,,,,,,,,25
ewt|train|answers-20111108102621AA3hPqj_ans-0005|3,i v [[owned]] beardies for ovr 3 yrs and i handle mine all the time .. they do nt go hard lik eneedle hard but they ar nt pillow soft .,iv owned beardies for ovr 3 yrs and i handle mine all the time.. they dont go hard lik eneedle hard but they arnt pillow soft.,owned,1:nsubj:i;2:aux:v;4:obj:beardies;8:obl:yrs;11:conj:handle;20:parataxis:go;31:punct:.,,,,,,,,,,,26
gum|train|GUM_bio_bernoulli-45|3,This is [[exploited]] by the wing of an aeroplane which is designed to create an area above its surface where the air velocity increases .,This is exploited by the wing of an aeroplane which is designed to create an area above its surface where the air velocity increases.,exploited,1:nsubj:pass:This;2:aux:pass:is;6:obl:agent:wing;25:punct:.,,,,,,,,,,,27
ewt|train|reviews-121556-0010|5,You will not be [[disappointed]] !!!!!!,You will not be disappointed!!!!!!,disappointed,1:nsubj:pass:You;2:aux:will;3:advmod:not;4:aux:pass:be;6:punct:!!!!!!,,,,,,,,,,,28
ewt|train|reviews-126171-0002|14,I have been getting my treatments for a few months now and have [[seen]] some results but not up to the standards that I was told I should expect .,I have been getting my treatments for a few months now and have seen some results but not up to the standards that I was told I should expect.,seen,12:cc:and;13:aux:have;16:obj:results,,,,,,,,,,,29
ewt|train|reviews-071278-0005|3,She has [[taken]] care of my sweet girl for almost 4 years now and I would not let Gracee go with anyone besides her !!!,She has taken care of my sweet girl for almost 4 years now and I would not let Gracee go with anyone besides her!!!,taken,1:nsubj:She;2:aux:has;4:obj:care;8:obl:girl;12:obl:years;13:advmod:now;18:conj:let;25:punct:!!!,,,,,,,,,,,30
ewt|train|weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0011|4,"It has also [[become]] an arms depot of the Liberation Tigers of Tamil Eelam ( LTTE ) , who operate almost freely in the Andaman Sea .","It has also become an arms depot of the Liberation Tigers of Tamil Eelam (LTTE), who operate almost freely in the Andaman Sea.",become,1:nsubj:It;2:aux:has;3:advmod:also;7:xcomp:depot,,,,,,,,,,,31
ewt|test|weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018|18,"Another worrisome sign is that local Iraqi Sunni fundamentalists opposed to the US presence in Iraq have [[begun]] joining Monotheism and Holy War , and wearing its distinctive orange and black insignia .","Another worrisome sign is that local Iraqi Sunni fundamentalists opposed to the US presence in Iraq have begun joining Monotheism and Holy War, and wearing its distinctive orange and black insignia.",begun,3:nsubj:outer:sign;4:cop:is;5:mark:that;9:nsubj:fundamentalists;17:aux:have;19:xcomp:joining;33:punct:.,,,,,,,,,,,32
gum|test|GUM_speech_newzealand-15|8,"At every step , the Government has [[taken]] decisions in the interests of health and safety of the wider public , and so far we have been among the best at keeping COVID - 19 at bay .","At every step, the Government has taken decisions in the interests of health and safety of the wider public, and so far we have been among the best at keeping COVID-19 at bay.",taken,3:obl:step;6:nsubj:Government;7:aux:has;9:obj:decisions;12:obl:interests;30:conj:best;38:punct:.,,,,,,,,,,,33
gum|dev|GUM_bio_byron-4|26,"His mother interfered with his studies , often withdrawing him from school , with the result that he lacked discipline and his classical studies were [[neglected]] .","His mother interfered with his studies, often withdrawing him from school, with the result that he lacked discipline and his classical studies were neglected.",neglected,21:cc:and;24:nsubj:pass:studies;25:aux:pass:were,,,,,,,,,,,34
ewt|train|reviews-260640-0007|37,"Whether they pay me or not , if their parents get into an accident , stuck in traffic , etc. THE LAST THING I WOULD DO IS LET A CHILD GET RAPED BECAUSE I WAS N'T [[PAID]] .","Whether they pay me or not, if their parents get into an accident, stuck in traffic, etc. THE LAST THING I WOULD DO IS LET A CHILD GET RAPED BECAUSE I WASN'T PAID.",PAID,33:mark:BECAUSE;34:nsubj:pass:I;35:aux:pass:WAS;36:advmod:N'T,,,,,,,,,,,35
ewt|train|email-enronsent38_01-0088|28,"As far as the EEI goes , the only remaining issue that I 'm aware of ( aside from finalizing the LOC ) is whether we 've [[finished]] coordinating the Attachment containing the list of prior transactions .","As far as the EEI goes, the only remaining issue that I'm aware of (aside from finalizing the LOC) is whether we've finished coordinating the Attachment containing the list of prior transactions.",finished,2:advmod:far;11:nsubj:outer:issue;24:cop:is;25:mark:whether;26:nsubj:we;27:aux:'ve;29:xcomp:coordinating;38:punct:.,,,,,,,,,,,36
gum|dev|GUM_voyage_coron-21|13,"On September 24 , 1944 , a group of Japanese ships were [[sunk]] by American warplanes in Coron waters as the ships retreated from Manila Bay .","On September 24, 1944, a group of Japanese ships were sunk by American warplanes in Coron waters as the ships retreated from Manila Bay.",sunk,3:obl:24;8:nsubj:pass:group;12:aux:pass:were;16:obl:agent:warplanes;23:advcl:retreated;27:punct:.,,,,,,,,,,,37
ewt|train|weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0066|40,"The same week , the WTC head testified that while they had not received any briefing on the use of planes , they had taken steps to prepare for an attack using anthrax based on intelligence that had been [[received]] .","The same week, the WTC head testified that while they had not received any briefing on the use of planes, they had taken steps to prepare for an attack using anthrax based on intelligence that had been received.",received,37:nsubj:pass:that;38:aux:had;39:aux:pass:been,,,,,,,,,,,38
ewt|train|newsgroup-groups.google.com_GuildWars_086f0f64ab633ab3_ENG_20041111_173500-0016|13,"Feb 2005 is the projected release date , although Guild Wars is [[made]] by ex-members of Blizzard , so Feb 2005 could mean August 2006 ...","Feb 2005 is the projected release date, although Guild Wars is made by ex-members of Blizzard, so Feb 2005 could mean August 2006...",made,"8:punct:,;9:mark:although;11:nsubj:pass:Wars;12:aux:pass:is;15:obl:agent:ex-members;23:parataxis:mean",,,,,,,,,,,39
ewt|train|newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0105|9,"Across the board , the American military is [[stretched]] to the breaking point .","Across the board, the American military is stretched to the breaking point.",stretched,3:obl:board;7:nsubj:pass:military;8:aux:pass:is;13:obl:point;14:punct:.,,,,,,,,,,,40
ewt|train|answers-20111108111010AASEk0S_ans-0010|14,"i have over 40 corns , kings , and milks and have never [[had]] a problem with the UTH system .","i have over 40 corns, kings, and milks and have never had a problem with the UTH system.",had,11:cc:and;12:aux:have;13:advmod:never;16:obj:problem,,,,,,,,,,,41
gum|test|GUM_academic_discrimination-39|15,"In the current study , those respondents who indicated more than one race were [[coded]] as “ mixed race ” .","In the current study, those respondents who indicated more than one race were coded as “mixed race”.",coded,4:obl:study;7:nsubj:pass:respondents;14:aux:pass:were;19:obl:race;21:punct:.,,,,,,,,,,,42
gum|train|GUM_academic_thrones-14|18,"One of the most dramatic plot developments in the source material ( Martin , 2000 ) was [[adapted]] to the screen in the penultimate episode of the third season , “ The Rains of Castamere ” ( Benioff & Weiss , 2013 ) .","One of the most dramatic plot developments in the source material (Martin, 2000) was adapted to the screen in the penultimate episode of the third season, “The Rains of Castamere” (Benioff & Weiss, 2013).",adapted,1:nsubj:pass:One;17:aux:pass:was;21:obl:screen;25:obl:episode;38:dep:Benioff;44:punct:.,,,,,,,,,,,43
gum|train|GUM_news_imprisoned-20|6,She certainly was n't ' [[forced]] ' to be there .,She certainly wasn't 'forced' to be there.,forced,1:nsubj:pass:She;2:advmod:certainly;3:aux:pass:was;4:advmod:n't;5:punct:';7:punct:';10:xcomp:there;11:punct:.,,,,,,,,,,,44
ewt|train|answers-20111106144630AAadR8l_ans-0009|9,"Than the troops being issued the weapon were [[told]] it was self - cleaning , which it was n't .","Than the troops being issued the weapon were told it was self-cleaning, which it wasn't.",told,1:advmod:Than;3:nsubj:pass:troops;8:aux:pass:were;14:ccomp:cleaning;20:punct:.,,,,,,,,,,,45
gum|test|GUM_voyage_oakland-34|10,"Strangely , twice in its history the neighborhood has [[seen]] benefits from major earthquakes .","Strangely, twice in its history the neighborhood has seen benefits from major earthquakes.",seen,1:advmod:Strangely;3:advmod:twice;8:nsubj:neighborhood;9:aux:has;11:obj:benefits;14:obl:earthquakes;15:punct:.,,,,,,,,,,,46
gum|test|GUM_letter_mandela-21|7,"Support for a National Convention has [[come]] also from the bulk of the English language press , from several national church organisations , and from many others .","Support for a National Convention has come also from the bulk of the English language press, from several national church organisations, and from many others.",come,1:nsubj:Support;6:aux:has;8:advmod:also;11:obl:bulk;28:punct:.,,,,,,,,,,,47
gum|test|GUM_fiction_teeth-23|25,"It was inevitable that one of us , seeing the plaster casts on the shelf by Steven ’s bed would ask how they were [[done]] .","It was inevitable that one of us, seeing the plaster casts on the shelf by Steven’s bed would ask how they were done.",done,23:nsubj:pass:they;24:aux:pass:were,,,,,,,,,,,48
ewt|train|weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0077|18,Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had [[collected]] the Ames strain from 20 sources .,Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources.,collected,14:mark:that;16:nsubj:FBI;17:aux:had;21:obj:strain;24:obl:sources,,,,,,,,,,,49
ewt|train|answers-20111108105749AABv7vx_ans-0016|10,"in a week 's time , he will have [[made]] it his , and will be getting more bored than afraid .","in a week's time, he will have made it his, and will be getting more bored than afraid.",made,5:obl:time;7:nsubj:he;8:aux:will;9:aux:have;11:obj:it;12:xcomp:his;17:conj:getting;22:punct:.,,,,,,,,,,,50
ewt|train|reviews-135010-0006|13,The arancini di riso ( risotto fritters ) are not to be [[missed]] .,The arancini di riso (risotto fritters) are not to be missed.,missed,4:nsubj:pass:riso;9:aux:are;10:advmod:not;11:mark:to;12:aux:pass:be;14:punct:.,,,,,,,,,,,51
ewt|train|weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0030|4,They have also [[reestablished]] their historical links with Lebanese and Iranian Shiites .,They have also reestablished their historical links with Lebanese and Iranian Shiites.,reestablished,1:nsubj:They;2:aux:have;3:advmod:also;7:obj:links;13:punct:.,,,,,,,,,,,52
gum|train|GUM_letter_flood-9|3,"We have [[lost]] much -- too much , really , to list .","We have lost much -- too much, really, to list.",lost,1:nsubj:We;2:aux:have;4:obj:much;13:punct:.,,,,,,,,,,,53
